Reg.;Nível
0;0
1;1
2;2
5;2
15;2
100;2
150;2
175;3
190;2
200;2
205;3
206;3
210;3
220;3
221;3
300;2
305;3
400;2
450;2
460;2
500;2
600;2
990;1
B001;1
B020;2
B025;3
B030;2
B035;
B350;2
B420;2
B440;2
B460;2
B470;2
B500;2
B510;3
B990;1
C001;1
C100;2
C101;3
C105;3
C110;3
C111;4
C112;4
C113;4
C114;4
C115;4
C116;4
C120;3
C130;3
C140;3
C141;4
C160;3
C165;3
C170;3
C171;4
C172;4
C173;4
C174;4
C175;4
C176;4
C177;4
C178;4
C179;4
C180;4
C181;4
C185;3
C186;3
C190;3
C191;4
C195;3
C197;4
C300;2
C310;3
C320;3
C321;4
C330;5
C350;2
C370;3
C380;4
C390;3
C400;2
C405;3
C410;4
C420;4
C425;5
C430;6
C460;4
C465;5
C470;5
C480;6
C490;4
C495;2
C500;2
C510;3
C590;3
C591;4
C595;3
C597;4
C600;2
C601;3
C610;3
C690;3
C700;2
C790;3
C791;4
C800;2
C810;3
C815;4
C850;3
C855;3
C857;4
C860;2
C870;3
C880;4
C890;3
C895;3
C897;4
C990;1
D001;1
D100;2
D101;3
D110;3
D120;4
D130;3
D140;3
D150;3
D160;3
D161;4
D162;4
D170;3
D180;3
D190;3
D195;3
D197;4
D300;2
D301;3
D310;3
D350;2
D355;3
D360;4
D365;4
D370;5
D390;4
D400;2
D410;3
D411;4
D420;3
D500;2
D510;3
D530;3
D590;3
D600;2
D610;3
D690;3
D695;2
D696;3
D697;4
D700;2
D730;3
D731;4
D735;3
D737;4
D750;2
D760;3
D761;4
D990;1
E001;1
E100;2
E110;3
E111;4
E112;5
E113;5
E115;4
E116;4
E200;2
E210;3
E220;4
E230;5
E240;5
E250;4
E300;2
E310;3
E311;4
E312;5
E313;5
E316;4
E500;2
E510;3
E520;3
E530;4
E531;5
E990;1
G001;1
G110;2
G125;3
G126;4
G130;4
G140;5
G990;1
H001;1
H005;2
H010;3
H020;4
H030;4
H990;1
K001;1
K010;2
K100;2
K200;3
K210;3
K215;4
K220;3
K230;3
K235;4
K250;3
K255;4
K260;3
K265;4
K270;3
K275;4
K280;3
K290;3
K291;4
K292;4
K300;3
K301;4
K302;4
K990;1
1001;1
1010;2
1100;2
1105;3
1110;4
1200;2
1210;3
1250;2
1255;3
1300;2
1310;3
1320;4
1350;2
1360;3
1370;3
1390;2
1391;3
1400;2
1500;2
1510;3
1600;2
1601;2
1700;2
1710;3
1800;2
1900;2
1910;3
1920;4
1921;5
1922;6
1923;6
1925;5
1926;5
1960;2
1970;2
1975;3
1980;2
1990;1
9001;1
9900;2
9990;1
9999;0
